x,y
229,28
229,46
228,47
228,53
227,54
227,56
226,57
226,60
225,61
225,62
218,69
216,69
215,70
214,70
213,71
211,71
209,73
207,73
206,74
200,74
199,75
168,75
167,76
101,76
100,77
87,77
86,78
84,78
83,79
76,79
75,80
69,80
68,81
66,81
65,82
63,82
62,83
58,83
57,84
51,84
50,85
46,85
45,86
40,86
39,87
37,87
36,88
35,88
34,89
31,89
30,90
28,90
27,91
26,91
25,92
24,92
21,95
20,95
16,99
16,100
14,102
14,103
13,104
13,105
11,107
11,108
10,109
10,111
9,112
9,114
8,115
8,117
7,118
7,120
6,121
6,123
5,124
5,128
4,129
4,131
3,132
4,133
4,135
3,136
3,145
2,146
2,165
1,166
1,170
1,166
2,165
2,152
3,151
2,150
2,147
3,146
3,140
4,139
4,132
5,131
5,124
6,123
6,122
7,121
7,119
8,118
8,116
9,115
9,114
10,113
10,110
11,109
11,108
13,106
13,105
14,104
14,103
16,101
16,100
21,95
22,95
24,93
25,93
27,91
29,91
30,90
32,90
33,89
35,89
36,88
37,88
38,87
42,87
43,86
49,86
50,85
53,85
54,84
59,84
60,83
63,83
64,82
67,82
68,81
74,81
75,80
78,80
79,79
84,79
85,78
92,78
93,77
101,77
102,76
114,76
115,77
116,76
137,76
138,77
139,77
140,76
160,76
161,77
162,76
195,76
196,75
203,75
204,74
207,74
208,73
209,73
210,72
212,72
213,71
215,71
216,70
217,70
219,68
220,68
224,64
224,63
225,62
225,61
226,60
226,59
227,58
227,56
228,55
228,48
229,47
229,40
230,39
230,38
229,37
230,36
230,30
229,29
